SensoreFrontale;DifferenzaSxDxSensor;DifferenzaSxMinDxMinSensor;PosizioneRispettoAlCentro;AngoloLongTang;Cls
36.5656;17.2546;41.913999999999994;0.321096;0.0534837;0
36.6135;17.303399999999996;42.055600000000005;0.321317;0.0530164;0
36.6437;17.3336;42.143699999999995;0.321494;0.0527303;0
36.6587;17.3488;42.18729999999999;0.321581;0.0525886;0
36.7011;17.391;42.3094;0.321884;0.0521981;0
36.718;17.4086;42.3612;0.321927;0.0520269;0
36.7305;17.4204;42.3955;0.322055;0.0519211;0
36.7474;17.438;42.447100000000006;0.322097;0.0517508;0
36.7619;17.4528;42.4897;0.322182;0.0516145;0
36.7761;17.4672;42.5317;0.322266;0.0514805;0
36.7736;17.464;42.522099999999995;0.322307;0.0515153;0
36.8609;17.552799999999998;42.7812;0.322763;0.0506861;0
36.8583;17.5494;42.7711;0.322804;0.0507223;0
36.9145;17.606299999999997;42.937200000000004;0.323133;0.0501973;0
36.9453;17.6382;43.030499999999996;0.323255;0.0498998;0
36.9594;17.652600000000003;43.072599999999994;0.323338;0.0497681;0
36.9875;17.6811;43.156;0.3235;0.0495068;0
37.0129;17.7061;43.229400000000005;0.3237;0.0492818;0
37.0577;17.752499999999998;43.365199999999994;0.323901;0.048855;0
37.0998;17.795500000000004;43.4911;0.324141;0.0484654;0
37.1279;17.824099999999998;43.5754;0.324301;0.0482051;0
37.1391;17.834899999999998;43.606700000000004;0.32442;0.0481126;0
37.1533;17.8493;43.64909999999999;0.324502;0.0479824;0
37.1702;17.8674;43.7024;0.324541;0.0478145;0
37.2125;17.9106;43.829499999999996;0.324781;0.0474254;0
37.2268;17.9253;43.872699999999995;0.324862;0.0472938;0
37.369;18.071299999999997;44.3026;0.325667;0.0459925;0
37.3662;18.0676;44.291700000000006;0.325707;0.0460297;0
37.3806;18.082399999999996;44.33550000000001;0.325787;0.0458981;0
37.4262;18.1301;44.476499999999994;0.32599;0.0454718;0
200.0;-21.659099999999995;-4.612099999999998;-0.0160591;-0.0121997;0
200.0;-22.3155;-5.031199999999998;-0.0102142;-0.0120219;0
200.0;-22.457000000000008;-5.1240999999999985;-0.00889702;-0.0119789;0
200.0;-23.670199999999994;-5.5908000000000015;-0.00495275;-0.0122293;0
200.0;-24.602800000000002;-6.0488;2.86484E-4;-0.0122356;0
200.0;-25.346199999999996;-6.401299999999999;0.00419032;-0.012263;0
